,Outlet Code,F_2022,M_2022,R_2022,F_2023,M_2023,R_2023,F_2024,M_2024,R_2024,F,M,R,F_Label,M_Label,R_Label
1875,78020830,2.0,828.0,638.0,3.0,3317.1699999999996,191.0,10.0,1102.8500000000001,166.0,7.5,-969.7349999999999,-248.5,0,1,1
1876,78020857,5.0,8633.02,903.0,3.0,124.73,497.0,3.0,220.8,116.0,-1.0,-4158.075,-584.0,1,1,1
1877,78020876,22.0,85733.0,907.0,18.0,62179.14,539.0,11.0,30550.440000000002,166.0,-9.0,-43405.630000000005,-557.0,1,1,1
1878,78020884,1.0,1.5,753.0,6.0,4066.38,501.0,3.0,552.0,167.0,-0.5,-1481.94,-460.0,1,1,1
1879,78020907,10.0,11532.0,894.0,9.0,18951.04,529.0,2.0,5413.74,110.0,-7.5,-9827.78,-601.5,1,1,1
1880,78020952,1.0,320.0,856.0,9.0,2648.27,432.0,3.0,1283.1399999999999,179.0,-2.0,-200.99500000000012,-465.0,1,1,1
1881,78021010,2.0,409.0,866.0,2.0,3317.1699999999996,191.0,14.0,1102.8500000000001,168.0,12.0,-760.2349999999997,-360.5,0,1,1
1882,78021033,13.0,4817.5,909.0,12.0,11710.19,545.0,9.0,2862.87,166.0,-3.5,-5400.975000000001,-561.0,1,1,1
1883,78021081,102.0,745675.0,910.0,25.0,144888.76,461.0,12.0,59292.080000000045,166.0,-51.5,-385989.79999999993,-519.5,1,1,1
1884,78021129,5.0,4713.96,742.0,1.0,1326.87,205.0,9.0,1326.87,151.0,6.0,-1693.545,-322.5,0,1,1
1885,78021149,10.0,35025.66,889.0,8.0,6731.01,516.0,14.0,4069.49,181.0,5.0,-16808.845,-521.5,0,1,1
1886,78021170,12.0,4940.6,879.0,5.0,1048.8,541.0,2.0,631.0,154.0,-6.5,-2363.7000000000003,-556.0,1,1,1
1887,78021209,6.0,6139.82,893.0,1.0,530.75,195.0,1.0,29.6,59.0,-2.5,-3305.685,-485.0,1,1,1
1888,78021221,6.0,2185.2200000000003,850.0,5.0,5600.0,465.0,2.0,927.0,153.0,-3.5,-2965.61,-504.5,1,1,1
1889,78021238,29.0,7709.6,912.0,38.0,10008.07,544.0,6.0,2622.56,181.0,-27.5,-6236.275,-547.0,1,1,1
1890,78021241,11.0,19373.4,877.0,12.0,33652.68,455.0,3.0,12620.0,145.0,-8.5,-13893.04,-521.0,1,1,1
1891,78021274,26.0,3776.8,901.0,18.0,2307.46,528.0,13.0,1750.82,164.0,-9.0,-1291.3100000000002,-550.5,1,1,1
1892,78021300,7.0,5184.33,814.0,3.0,3834.21,513.0,12.0,4968.0,171.0,7.0,458.72999999999956,-492.5,0,0,1
1893,78021301,9.0,56640.14,903.0,5.0,15300.399999999998,534.0,3.0,324.57,132.0,-4.0,-35645.7,-586.5,1,1,1
1894,78021344,5.0,331.20000000000005,772.0,6.0,855.6,499.0,2.0,55.2,154.0,-3.5,-538.2,-481.5,1,1,1
1895,78021430,2.0,2710.0,822.0,7.0,9437.89,471.0,14.0,664.1600000000003,166.0,9.5,-5409.785,-480.5,0,1,1
1896,78021452,25.0,20569.49,912.0,14.0,14680.16,535.0,14.0,4235.55,166.0,-5.5,-13389.275000000001,-557.5,1,1,1
1897,78021471,1.0,1380.0,689.0,2.0,2011.69,259.0,9.0,812.3299999999999,166.0,7.5,-883.5150000000001,-308.0,0,1,1
1898,78021771,53.0,61015.45,912.0,35.0,42224.43,536.0,9.0,1.1368683772161603e-13,165.0,-35.0,-51619.94,-559.0,1,1,1
1899,78021969,12.0,13366.66,909.0,2.0,1152.01,398.0,12.0,131.89,165.0,5.0,-7127.445,-488.5,0,1,1
1900,78021978,4.0,1590.8,851.0,4.0,6629.860000000001,519.0,12.0,10835.29,166.0,8.0,6724.960000000001,-519.0,0,0,1
1901,78022172,30.0,89384.78,912.0,41.0,104480.38,534.0,25.0,46375.75,161.0,-10.5,-50556.83,-562.0,1,1,1
1902,78022295,10.0,23453.2,898.0,12.0,20762.29,536.0,10.0,9909.95,166.0,-1.0,-12197.795000000002,-551.0,1,1,1
1903,78022312,6.0,1250.6,887.0,3.0,812.06,542.0,3.0,132.69,147.0,-1.5,-898.6399999999999,-567.5,1,1,1
1904,78022317,12.0,4672.0,884.0,10.0,6494.19,486.0,7.0,994.97,167.0,-4.0,-4588.124999999999,-518.0,1,1,1
1905,78022319,5.0,2918.82,909.0,4.0,4904.76,469.0,5.0,296.0,166.0,0.5,-3615.79,-523.0,0,1,1
1906,78022348,7.0,7981.6,813.0,2.0,1959.6,459.0,2.0,826.75,83.0,-2.5,-4143.85,-553.0,1,1,1
1907,78022385,4.0,10473.0,847.0,12.0,19172.87,531.0,8.0,9763.48,166.0,0.0,-5059.455,-523.0,0,1,1
1908,78022407,5.0,2196.2200000000003,896.0,4.0,5145.719999999999,248.0,8.0,1088.0,173.0,3.5,-2582.97,-399.0,0,1,1
1909,78022435,20.0,6175.0,901.0,5.0,2872.9900000000002,513.0,5.0,552.0,133.0,-7.5,-3971.995,-574.0,1,1,1
1910,78022496,1.0,8130.0,815.0,1.0,1326.87,202.0,2.0,776.25,178.0,1.0,-3952.1849999999995,-330.5,0,1,1
1911,78022525,20.0,227840.0,909.0,29.0,142950.35,466.0,4.0,55010.66,138.0,-20.5,-130384.51499999998,-549.5,1,1,1
1912,78022527,11.0,33417.97,873.0,33.0,45384.85,545.0,7.0,1593.62,179.0,-15.0,-37807.79,-530.0,1,1,1
1913,78022547,1.0,418.82,821.0,6.0,7232.84,503.0,3.0,670.0,178.0,-0.5,-3155.83,-484.0,1,1,1
1914,78022583,37.0,9308.5,910.0,40.0,10240.65,544.0,12.0,1898.55,168.0,-26.5,-7876.025000000001,-559.0,1,1,1
